證券代碼	簡稱	年月日	日報酬率 %
COID	Name	MDATE	ROIA
1605   	華新         	19910312	  -0.5305
2303   	聯電         	19910312	   5.7751
2603   	長榮         	19910312	   0.3401
2809   	京城銀       	19910312	   1.5228
1102   	亞泥         	19910313	  -1.5625
1434   	福懋         	19910313	  -3.9474
1605   	華新         	19910313	   2.4000
2303   	聯電         	19910313	  -3.7356
2603   	長榮         	19910313	  -4.0678
2809   	京城銀       	19910313	  -2.0000
1102   	亞泥         	19910314	   0.7937
1434   	福懋         	19910314	   3.2877
1605   	華新         	19910314	   0.7813
2303   	聯電         	19910314	   6.2687
2603   	長榮         	19910314	   2.4735
2809   	京城銀       	19910314	   1.0204
1102   	亞泥         	19910315	   3.1496
1434   	福懋         	19910315	   5.0398
1605   	華新         	19910315	   3.6176
2303   	聯電         	19910315	   3.9326
2603   	長榮         	19910315	   4.8276
2809   	京城銀       	19910315	   2.0202
1102   	亞泥         	19910316	   0.7634
1434   	福懋         	19910316	  -0.5051
1605   	華新         	19910316	   0.2494
2303   	聯電         	19910316	  -0.8108
2603   	長榮         	19910316	  -1.3158
2809   	京城銀       	19910316	   0.0000
1102   	亞泥         	19910318	  -2.2727
1434   	福懋         	19910318	  -1.7766
1605   	華新         	19910318	  -1.7413
2303   	聯電         	19910318	  -1.3624
2603   	長榮         	19910318	   1.3333
2809   	京城銀       	19910318	  -6.4356
1102   	亞泥         	19910319	  -0.7752
1434   	福懋         	19910319	   4.3928
1605   	華新         	19910319	   1.5190
2303   	聯電         	19910319	   4.1436
2603   	長榮         	19910319	   1.6447
2809   	京城銀       	19910319	   0.0000
1102   	亞泥         	19910320	  -2.3438
1434   	福懋         	19910320	   3.7129
1605   	華新         	19910320	   3.2419
2303   	聯電         	19910320	  -2.3873
2603   	長榮         	19910320	  -1.9417
2809   	京城銀       	19910320	  -2.1164
1102   	亞泥         	19910321	  -1.6000
1434   	福懋         	19910321	   1.1933
1605   	華新         	19910321	  -2.1739
2303   	聯電         	19910321	   0.0000
2603   	長榮         	19910321	   0.0000
2809   	京城銀       	19910321	   0.0000
1102   	亞泥         	19910322	   2.4390
1434   	福懋         	19910322	   0.9434
1605   	華新         	19910322	   1.2346
2303   	聯電         	19910322	  -0.8152
2603   	長榮         	19910322	   1.6502
2809   	京城銀       	19910322	   0.5405
1102   	亞泥         	19910323	  -2.3810
1434   	福懋         	19910323	   0.0000
1605   	華新         	19910323	  -1.2195
2303   	聯電         	19910323	  -0.8219
2603   	長榮         	19910323	   0.9740
2809   	京城銀       	19910323	  -1.6129
1102   	亞泥         	19910325	   0.8130
1434   	福懋         	19910325	   6.3084
1605   	華新         	19910325	   6.9136
2303   	聯電         	19910325	   6.9061
2603   	長榮         	19910325	   6.7524
2809   	京城銀       	19910325	  -1.0929
1102   	亞泥         	19910326	   2.4194
1434   	福懋         	19910326	  -0.6593
1605   	華新         	19910326	   3.2333
2303   	聯電         	19910326	   3.1008
2603   	長榮         	19910326	   6.9277
2809   	京城銀       	19910326	   0.0000
1102   	亞泥         	19910327	   0.7874
1434   	福懋         	19910327	   1.3274
1605   	華新         	19910327	  -0.8949
2303   	聯電         	19910327	  -2.7569
2603   	長榮         	19910327	  -1.1268
2809   	京城銀       	19910327	   3.8674
1102   	亞泥         	19910328	   3.9063
1434   	福懋         	19910328	   6.9869
1605   	華新         	19910328	   6.9977
