證券代碼,簡稱,年月日,報酬率小數點
1707,葡萄王       ,20180823,0
1707,葡萄王       ,20180824,0.011261
1707,葡萄王       ,20180827,-0.008909
1707,葡萄王       ,20180828,-0.006742
1707,葡萄王       ,20180829,0.011312
1707,葡萄王       ,20180830,-0.013423
1707,葡萄王       ,20180831,-0.015873
1707,葡萄王       ,20180903,-0.050691
1707,葡萄王       ,20180904,0.004854
1707,葡萄王       ,20180905,0.009662
1707,葡萄王       ,20180906,-0.004785
1707,葡萄王       ,20180907,0
1707,葡萄王       ,20180910,-0.024038
1707,葡萄王       ,20180911,0.009852
1707,葡萄王       ,20180912,0.02439
1707,葡萄王       ,20180913,-0.002381
1707,葡萄王       ,20180914,0.02148
1707,葡萄王       ,20180917,-0.037383
1707,葡萄王       ,20180918,-0.024272
1707,葡萄王       ,20180919,0.0199
1707,葡萄王       ,20180920,0.014634
1707,葡萄王       ,20180921,0.004808
1707,葡萄王       ,20180925,0.011962
1707,葡萄王       ,20180926,0.002364
1707,葡萄王       ,20180927,0.004717
1707,葡萄王       ,20180928,0.007042
1707,葡萄王       ,20181001,0
1707,葡萄王       ,20181002,-0.016317
1707,葡萄王       ,20181003,0.009479
1707,葡萄王       ,20181004,-0.004695
1707,葡萄王       ,20181005,-0.023585
1707,葡萄王       ,20181008,-0.016908
1707,葡萄王       ,20181009,-0.007371
1707,葡萄王       ,20181011,-0.027228
1707,葡萄王       ,20181012,0.010178
1707,葡萄王       ,20181015,0
1707,葡萄王       ,20181016,0
1707,葡萄王       ,20181017,-0.025189
1707,葡萄王       ,20181018,0
1707,葡萄王       ,20181019,-0.01292
1707,葡萄王       ,20181022,0.02356
1707,葡萄王       ,20181023,0.015345
1707,葡萄王       ,20181024,0.002519
1707,葡萄王       ,20181025,-0.030151
1707,葡萄王       ,20181026,-0.025907
1707,葡萄王       ,20181029,0
1707,葡萄王       ,20181030,0.029255
1707,葡萄王       ,20181031,0.007752
1707,葡萄王       ,20181101,0.005128
1707,葡萄王       ,20181102,-0.012755
1707,葡萄王       ,20181105,0
1707,葡萄王       ,20181106,-0.015504
1707,葡萄王       ,20181107,0.010499
1707,葡萄王       ,20181108,0
1707,葡萄王       ,20181109,0.007792
1707,葡萄王       ,20181112,-0.023196
1707,葡萄王       ,20181113,0.013193
1707,葡萄王       ,20181114,-0.013021
1707,葡萄王       ,20181115,-0.013193
1707,葡萄王       ,20181116,0.002674
1707,葡萄王       ,20181119,0
1707,葡萄王       ,20181120,-0.002667
1707,葡萄王       ,20181121,-0.005348
1707,葡萄王       ,20181122,0.008065
1707,葡萄王       ,20181123,-0.002667
1707,葡萄王       ,20181126,0.016043
1707,葡萄王       ,20181127,-0.002632
1707,葡萄王       ,20181128,0.01847
1707,葡萄王       ,20181129,0.020725
1707,葡萄王       ,20181130,0
1707,葡萄王       ,20181203,0.025381
1707,葡萄王       ,20181204,-0.012376
1707,葡萄王       ,20181205,-0.010025
1707,葡萄王       ,20181206,-0.03038
1707,葡萄王       ,20181207,0.005222
1707,葡萄王       ,20181210,-0.018182
1707,葡萄王       ,20181211,0.002646
1707,葡萄王       ,20181212,0.013193
1707,葡萄王       ,20181213,-0.010417
1707,葡萄王       ,20181214,-0.007895
1707,葡萄王       ,20181217,0.005305
1707,葡萄王       ,20181218,-0.007916
1707,葡萄王       ,20181219,0.00266
1707,葡萄王       ,20181220,-0.002653
1707,葡萄王       ,20181221,0
1707,葡萄王       ,20181222,0.00266
1707,葡萄王       ,20181224,0.005305
1707,葡萄王       ,20181225,-0.002639
1707,葡萄王       ,20181226,-0.010582
1707,葡萄王       ,20181227,0.005348
1707,葡萄王       ,20181228,0.013298
2002,中鋼         ,20180102,-0.00202
2002,中鋼         ,20180103,0.008097
2002,中鋼         ,20180104,-0.004016
2002,中鋼         ,20180105,0.006048
2002,中鋼         ,20180108,0.012024
2002,中鋼         ,20180109,0
2002,中鋼         ,20180110,0.00198
2002,中鋼         ,20180111,0
2002,中鋼         ,20180112,0.001976
2002,中鋼         ,20180115,-0.009862
2002,中鋼         ,20180116,0.003984
2002,中鋼         ,20180117,-0.001984
2002,中鋼         ,20180118,0
2002,中鋼         ,20180119,-0.001988
2002,中鋼         ,20180122,-0.001992
2002,中鋼         ,20180123,-0.001996
2002,中鋼         ,20180124,0
2002,中鋼         ,20180125,0.004
2002,中鋼         ,20180126,0
2002,中鋼         ,20180129,0.001992
2002,中鋼         ,20180130,-0.00994
2002,中鋼         ,20180131,0
2002,中鋼         ,20180201,-0.002008
2002,中鋼         ,20180202,-0.002012
2002,中鋼         ,20180205,-0.012097
2002,中鋼         ,20180206,-0.036735
2002,中鋼         ,20180207,0
2002,中鋼         ,20180208,0.006356
2002,中鋼         ,20180209,0
2002,中鋼         ,20180212,-0.004211
2002,中鋼         ,20180221,0.035941
2002,中鋼         ,20180222,-0.008163
2002,中鋼         ,20180223,0.00823
2002,中鋼         ,20180226,-0.012245
2002,中鋼         ,20180227,-0.004132
2002,中鋼         ,20180301,0.012448
2002,中鋼         ,20180302,-0.018443
2002,中鋼         ,20180305,-0.014614
2002,中鋼         ,20180306,0.004237
2002,中鋼         ,20180307,-0.008439
2002,中鋼         ,20180308,0
2002,中鋼         ,20180309,0.004255
2002,中鋼         ,20180312,0.004237
2002,中鋼         ,20180313,0.006329
2002,中鋼         ,20180314,0
2002,中鋼         ,20180315,-0.004193
2002,中鋼         ,20180316,-0.002105
2002,中鋼         ,20180319,0.008439
2002,中鋼         ,20180320,-0.006276
2002,中鋼         ,20180321,0
2002,中鋼         ,20180322,0.004211
2002,中鋼         ,20180323,-0.014675
2002,中鋼         ,20180326,-0.002128
2002,中鋼         ,20180327,0.004264
2002,中鋼         ,20180328,-0.006369
2002,中鋼         ,20180329,-0.008547
2002,中鋼         ,20180330,0.012931
2002,中鋼         ,20180331,-0.002128
2002,中鋼         ,20180402,0.002132
2002,中鋼         ,20180403,-0.006383
2002,中鋼         ,20180409,0.019272
2002,中鋼         ,20180410,-0.002101
2002,中鋼         ,20180411,-0.006316
2002,中鋼         ,20180412,0
2002,中鋼         ,20180413,-0.006356
2002,中鋼         ,20180416,0
2002,中鋼         ,20180417,-0.006397
2002,中鋼         ,20180418,0.004292
2002,中鋼         ,20180419,0.012821
2002,中鋼         ,20180420,-0.00211
2002,中鋼         ,20180423,-0.002114
2002,中鋼         ,20180424,-0.012712
2002,中鋼         ,20180425,0.004292
2002,中鋼         ,20180426,-0.002137
2002,中鋼         ,20180427,0.002141
2002,中鋼         ,20180430,0.004274
2002,中鋼         ,20180502,0.006383
2002,中鋼         ,20180503,-0.016913
2002,中鋼         ,20180504,0
2002,中鋼         ,20180507,0
2002,中鋼         ,20180508,0.006452
2002,中鋼         ,20180509,0.002137
2002,中鋼         ,20180510,0
2002,中鋼         ,20180511,0.004264
2002,中鋼         ,20180514,-0.002123
2002,中鋼         ,20180515,-0.006383
2002,中鋼         ,20180516,0.006424
2002,中鋼         ,20180517,-0.006383
2002,中鋼         ,20180518,0.002141
2002,中鋼         ,20180521,0
2002,中鋼         ,20180522,-0.004274
2002,中鋼         ,20180523,-0.004292
2002,中鋼         ,20180524,0.002155
2002,中鋼         ,20180525,0.004301
2002,中鋼         ,20180528,0.002141
2002,中鋼         ,20180529,0
2002,中鋼         ,20180530,-0.008547
2002,中鋼         ,20180531,0.017241
2002,中鋼         ,20180601,0.006356
2002,中鋼         ,20180604,0.018947
2002,中鋼         ,20180605,0.004132
2002,中鋼         ,20180606,-0.002058
2002,中鋼         ,20180607,0.006186
2002,中鋼         ,20180608,0
2002,中鋼         ,20180611,-0.012295
2002,中鋼         ,20180612,0.002075
2002,中鋼         ,20180613,-0.004141
2002,中鋼         ,20180614,-0.014553
2002,中鋼         ,20180615,-0.00211
2002,中鋼         ,20180619,-0.010571
2002,中鋼         ,20180620,0.017094
2002,中鋼         ,20180621,-0.006303
2002,中鋼         ,20180622,0.002114
2002,中鋼         ,20180625,-0.012658
2002,中鋼         ,20180626,0
2002,中鋼         ,20180627,-0.00641
2002,中鋼         ,20180628,0
2002,中鋼         ,20180629,0.019355
2002,中鋼         ,20180702,-0.018987
2002,中鋼         ,20180703,0
2002,中鋼         ,20180704,0.010753
2002,中鋼         ,20180705,-0.002128
2002,中鋼         ,20180706,0.002132
2002,中鋼         ,20180709,0.004255
2002,中鋼         ,20180710,0.002119
2002,中鋼         ,20180711,0.002114
2002,中鋼         ,20180712,0.004219
2002,中鋼         ,20180713,0.004202
2002,中鋼         ,20180716,0
2002,中鋼         ,20180717,0.004184
2002,中鋼         ,20180718,0.004167
2002,中鋼         ,20180719,0.004149
2002,中鋼         ,20180720,0.002066
2002,中鋼         ,20180723,0
2002,中鋼         ,20180724,0.020619
2002,中鋼         ,20180725,0.00202
2002,中鋼         ,20180726,0.029435
2002,中鋼         ,20180727,0
2002,中鋼         ,20180730,0.006085
2002,中鋼         ,20180731,0.008065
2002,中鋼         ,20180801,-0.002
2002,中鋼         ,20180802,-0.012024
2002,中鋼         ,20180803,0.004057
2002,中鋼         ,20180806,0.006061
2002,中鋼         ,20180807,0
2002,中鋼         ,20180808,0.002008
2002,中鋼         ,20180809,-0.004008
2002,中鋼         ,20180810,-0.012072
2002,中鋼         ,20180813,-0.008147
2002,中鋼         ,20180814,0.024641
2002,中鋼         ,20180815,-0.008016
2002,中鋼         ,20180816,0.006061
2002,中鋼         ,20180817,-0.01004
2002,中鋼         ,20180820,0.01217
2002,中鋼         ,20180821,0.002004
2002,中鋼         ,20180822,0.012
2002,中鋼         ,20180823,0.007905
2002,中鋼         ,20180824,-0.009804
2002,中鋼         ,20180827,0.00198
2002,中鋼         ,20180828,0.007905
2002,中鋼         ,20180829,-0.001961
2002,中鋼         ,20180830,-0.007859
2002,中鋼         ,20180831,-0.00396
2002,中鋼         ,20180903,-0.011928
2002,中鋼         ,20180904,0.004024
2002,中鋼         ,20180905,-0.012024
2002,中鋼         ,20180906,0.006085
2002,中鋼         ,20180907,-0.004032
2002,中鋼         ,20180910,-0.004049
2002,中鋼         ,20180911,-0.002033
2002,中鋼         ,20180912,-0.010183
2002,中鋼         ,20180913,0.006173
2002,中鋼         ,20180914,0
2002,中鋼         ,20180917,0.002045
2002,中鋼         ,20180918,0.020408
2002,中鋼         ,20180919,0.004
2002,中鋼         ,20180920,-0.003984
2002,中鋼         ,20180921,0.01
2002,中鋼         ,20180925,0.00396
2002,中鋼         ,20180926,0.003945
2002,中鋼         ,20180927,0
2002,中鋼         ,20180928,0.001965
2002,中鋼         ,20181001,0
2002,中鋼         ,20181002,-0.011765
2002,中鋼         ,20181003,0.009921
2002,中鋼         ,20181004,-0.001965
2002,中鋼         ,20181005,-0.011811
2002,中鋼         ,20181008,0.005976
2002,中鋼         ,20181009,0.00396
2002,中鋼         ,20181011,-0.045365
2002,中鋼         ,20181012,0.012397
2002,中鋼         ,20181015,-0.018367
2002,中鋼         ,20181016,0.016632
2002,中鋼         ,20181017,-0.01227
2002,中鋼         ,20181018,0.004141
2002,中鋼         ,20181019,0.002062
2002,中鋼         ,20181022,-0.006173
2002,中鋼         ,20181023,0
2002,中鋼         ,20181024,-0.018634
2002,中鋼         ,20181025,0.00211
2002,中鋼         ,20181026,-0.004211
2002,中鋼         ,20181029,0.004228
2002,中鋼         ,20181030,0.016842
2002,中鋼         ,20181031,0.010352
2002,中鋼         ,20181101,-0.014344
2002,中鋼         ,20181102,0.004158
2002,中鋼         ,20181105,0.008282
2002,中鋼         ,20181106,0
2002,中鋼         ,20181107,0.00616
2002,中鋼         ,20181108,0.008163
2002,中鋼         ,20181109,-0.018219
2002,中鋼         ,20181112,0
2002,中鋼         ,20181113,0
2002,中鋼         ,20181114,-0.006186
2002,中鋼         ,20181115,0
2002,中鋼         ,20181116,0.014523
2002,中鋼         ,20181119,0.002045
2002,中鋼         ,20181120,-0.010204
2002,中鋼         ,20181121,-0.008247
2002,中鋼         ,20181122,0
2002,中鋼         ,20181123,-0.008316
2002,中鋼         ,20181126,0.004193
2002,中鋼         ,20181127,-0.012526
2002,中鋼         ,20181128,0.008457
2002,中鋼         ,20181129,0
2002,中鋼         ,20181130,0.006289
2002,中鋼         ,20181203,0.010417
2002,中鋼         ,20181204,0.008247
2002,中鋼         ,20181205,-0.00818
2002,中鋼         ,20181206,-0.012371
2002,中鋼         ,20181207,-0.002088
2002,中鋼         ,20181210,-0.004184
2002,中鋼         ,20181211,0.006303
2002,中鋼         ,20181212,0.016701
2002,中鋼         ,20181213,-0.002053
